Away,Home,Actual_Score,Consensus_Line,Projection,Dates
Wizards,Nets,248,222.5,223,12-2-2022
Lakers,Pelicans,257,233.5,225.5,12-3-2022
Suns,Pistons,216,228.5,242.5,12-4-2022
Clippers,Knicks,262,221,220.5,12-5-2022
Tblazers,Bulls,250,235.5,224,12-6-2022
Heat,Bucks,238,223.5,215,12-7-2022
Rockets,Thunder,274,231.5,235,12-8-2022
Mavs,Warriors,232,226.5,216,12-9-2022
Hawks,Nuggets,236,230.5,230,12-10-2022
Magic,Hornets,232,236,224.5,12-11-2022
Cavs,Pacers,225,"228,5",219.5,12-12-2022
76ers,Knicks,205,224.5,216.5,12-13-2022
Raptors,Grizzlies,209,229,233,12-14-2022
Nuggets,Timberwolves,226,226.5,224,12-15-2022
Kings,Pelicans,240,226.5,214,12-16-2022
Celtics,Pistons,210,227.5,227.5,12-17-2022
Cavs,Wizards,205,220.5,221.5,12-18-2022
Clippers,Nets,240,221.5,224,12-19-2022
Spurs,Bulls,232,239.5,230.5,12-20-2022
Kings,Rockets,260,238.5,213.5,12-21-2022
Mavs,Jazz,235,222,216,12-22-2022
Thunder,Warriors,255,232.5,247.5,12-23-2022
Bucks,Tblazers,235,241,258.5,12-24-2022
Knicks,Magic,200,225,222.5,12-25-2022
Suns,Nets,228,225,226,12-26-2022
Hawks,Pelicans,223,236.5,219,12-27-2022
Bulls,Grizzlies,193,233.5,208,12-28-2022
Twolves,Nuggets,258,233,242,12-29-2022
Thunder,Lakers,263,239,241,12-30-2022
Pistons,Caviliers,198,221.5,256,12-31-2022
Hornets,Wizards,222,235.5,216.5,1-1-2023
76ers ,Celtics,205,224,227.5,1-2-2023
Pacers,Heat,227,223,210,1-3-2023
Spurs,Raptors,210,232,230,1-4-2023
Kings,Rockets,258,239,213.5,1-5-2023
Twolves,Jazz,261,236.5,256.5,1-6-2023
Mavs,Clippers,214,220.5,216,1-7-2023
Warriors,Tblazers,247,234.5,263,1-8-2023
Nuggets,Magic,219,231.5,224,1-9-2023
Suns,Hawks,223,228.5,227.5,1-10-2023
Bulls,Nets,221,225.5,229,1-11-2023
Bucks,Lakers,221,238.5,246.5,1-12-2023
Spurs,Pistons,269,234.5,241,1-13-2023
Suns,Pacers,221,231,234,1-14-2023
Knicks,76ers,227,222.5,223,1-15-2023
Hornets,Celtics,243,227,224,1-16-2023
Jazz,Raptors,238,230.5,223,1-17-2023
Rockets,Heat,192,230.5,221,1-18-2023
Twolves,Grizzlies,235,233.5,216,1-19-2023
Cavs,Pelicans,225,221.4,206,1-20-2023
Thunder,Tblazers,267,239.5,250.5,1-21-2023
Mavs,Kings,236,233,243.5,1-22-2023
Bucks,Clippers,225,227,225.5,1-23-2023
76ers,Nets,199,223,225.5,1-24-2023
Nuggets,Hornets,224,238,218,1-25-2023
Heat,Magic,210,213.5,223,1-26-2023
Pacers,Wizards,240,236,232.5,1-27-2023
Spurs,Hawks,231,240.5,230.5,1-28-2023
Jazz,Knicks,246,230,244.5,1-29-2023
Bulls,Caviliers,186,220.5,231.5,1-30-2023
Lakers,Warriors,212,236,247.5,1-31-2023
Mavs,Kings,261,236,244.5,2-1-2023
Hawks,Hornetd,282,241,207,2-2-2023
Spurs,Caviliers,226,224,241,2-3-2023
Jazz,Pacers,240,242,243,2-4-2023
Rockets,76ers,227,226.5,227.5,2-5-2023
Nuggets,Heat,219,218.5,206,2-6-2023
Nets,Knicks,230,220,226,2-7-2023
Magic,Bulls,191,224.5,206,2-8-2023
Pelicans,Thunder,203,235.5,236,2-9-2023
Twolves,Mavericks,245,232.5,258,2-10-2023
Wizards,Warriors,261,233.5,238,2-11-2023
Lakers,Tblazers,242,238.5,237,2-12-2023
Magic,Raptors,236,221.5,219,2-13-2023
Celtics,Bucks,256,225,224,2-14-2023
Kings,Suns,229,233.5,213.5,2-15-2023
Warriors,Clippers,258,228.5,237.5,2-16-2023
Wizards,Tblazers,227,236.5,246,2-17-2023
Spurs,Hornets,230,243.5,228.5,2-18-2023
Bulls,Pacers,230,231,218.5,2-19-2023
Cavs,76ers,230,216.5,219,2-20-2023
Knicks,Hawks,223,233.5,238,2-21-2023
Pistons,Celtics,236,227.5,240,2-22-2023
Heat,Nets,221,211.5,219.5,2-23-2023
Jazz,Grizzlies,228,239,234.5,2-24-2023
Rockets,Thunder,229,234,239,2-25-2023
Mavs,Nuggets,227,234,220,2-26-2023
Pelicans,Lakers,222,234.5,239,2-27-2023
Bucks,Bulls,212,229,228.5,2-28-2023
Wizards,Twolves,220,235,242,3-1-2023
Clippers,Suns,224,221.5,198.5,3-2-2023
Nuggets,Cavs,224,222.5,228.5,3-3-2023
Celtics,Pacers,280,232,221,3-4-2023
Pistons,Magic,214,228.5,226.5,3-5-2023
Grizzlies,76ers,215,230.5,232.5,3-6-2023
Pelicans,Raptors,225,226,217.5,3-7-2023
Spurs,Mavericks,258,239.5,235.5,3-8-2023
Thunder,Jazz,239,240,243,3-9-2023
Warriors,Lakers,235,238.5,256,3-10-2023
Tblazers,Kings,249,241.5,237.5,3-11-2023
Raptors,Wizards,227,222,240,3-12-2023
76ers,Mavericks,259,229,225,3-13-2023
Pacers,Spurs,209,237.5,251.5,3-14-2023
Clippers,Warriors,206,231.5,233.5,3-15-2023
Magic,Hornets,223,225,226,3-16-2023
Tblazers,Hawks,240,241.5,237.5,3-17-2023
Nets,Celtics,220,227.5,227.5,3-18-2023
Knicks,Heat,242,215,212,3-19-2023
Suns,Bulls,229,223,219,3-20-2023
Jazz,Thunder,233,231.5,248,3-21-2023
Grizzlies,Nuggets,210,234,237.5,3-22-2023
Pelicans,Warriors,207,231.5,239.5,3-23-2023
Clippers,Kings,255,240,240.5,3-24-2023
Twolves,Lakers,212,227.5,254.5,3-25-2023
Bucks ,Pistons,280,236,222.6666667,3-26-2023
Celtics ,Magic,211,229,226.3333333,3-27-2023
Hawks ,Bulls,211,238.5,239,3-28-2023
Twolves,Rockets,233,233,231,3-29-2023
Hornets,Jazz,222,236.5,254.6666667,3-30-2023
Bulls ,Pacers,226,234.5,214,3-31-2023
Celtics ,Heat,193,215.5,216.3333333,4-1-2023
Cavs ,Knicks,205,220.5,226,4-2-2023
Nuggets,Pelicans,197,230.5,218,4-3-2023
Wizards,Mavs,253,226,216.3333333,4-4-2023
Hornets,Suns,225,226.5,234,4-5-2023
Clippers,Lakers,248,230,213.3333333,4-6-2023
Pacers,Magic,246,234.5,238,4-7-2023
Nets,76ers,270,224.5,214.3333333,4-8-2023
Wizards,Rockets,211,233.5,249.3333333,4-9-2023
Nuggets,Bucks,206,227.5,254.6666667,4-10-2023
Knicks,Celtics,237,221.5,231.6666667,4-11-2023
Pistons,Nets,252,236.5,223.6666667,4-12-2023
Bulls,Hornets,207,234.5,224.6666667,4-13-2023
Cavs,Rockets,208,219.5,228,4-14-2023
Mavs,Suns,194,221.5,227.6666667,4-15-2023
Spurs,Clippers,238,234.5,240.6666667,4-16-2023
Bucks,Pacers,272,239,213.3333333,4-17-2023
Grizzlies,Twolves,211,237.5,222.3333333,4-18-2023
Magic,Heat,215,219,211,4-19-2023
Cavs,Thunder,212,222.5,222,4-20-2023
Raptors,Warriors,246,235,249.6666667,4-21-2023
Nuggets,76ers,245,231.5,212.3333333,4-22-2023
Knicks,Nets,237,223.5,209,4-23-2023
Rockets,Pistons,231,236.5,230.3333333,4-24-2023
Bulls,Magic,237,230.5,214.6666667,4-25-2023
Clippers,Hawks,233,232.5,212,4-26-2023
Kings,Twolves,227,237.5,213,4-27-2023
Wizards ,Pelicans,216,230,225.6666667,4-28-2023
Suns ,Spurs,246,232,249,4-29-2023
Lakers ,Celtics,246,234,240.6666667,4-30-2023
Mavs ,Jazz,208,224,242.6666667,5-1-2023
Raptors ,Tblazers,228,231.5,232.3333333,5-2-2023
Heat ,Hornets,239,223.5,232.6666667,5-3-2023
Pacers ,Grizzlies,212,241,255.3333333,5-4-2023
Clips ,Cavs,221,214,205,5-5-2023
Pelicans ,Bucks,245,229.5,256,5-6-2023
Magic ,76ers,228,230.5,223.5,5-7-2023
Lakers ,Nets,225,231.5,230.5,5-8-2023
Kings ,Twolves,229,237,219,5-9-2023
Warriors ,Thunder,248,242.5,235,5-10-2023
Wizards ,Spurs,233,240,243.5,5-11-2023
Pistons ,Mavs,216,232,242,5-12-2023
Raptors ,Suns,220,220.5,238.5,5-13-2023
Hawks ,Tblazers,254,234,225.5,5-14-2023
Heat ,Cavs,197,210.5,229,5-15-2023
Lakers ,Knicks,252,232,238,5-16-2023
Clippers ,Bulls,211,226,221.5,5-17-2023
Hornets ,Bucks,239,244.5,271,5-18-2023
Pelicans ,Nuggets,235,231,226.5,5-19-2023
Magic ,76ers,199,230.5,222.5,5-20-2023
Tblazers ,Grizzlies,234,239,217.5,5-21-2023
Nets ,Celtics,235,224,232,5-22-2023
Thunder ,Rockets,218,232.5,234.5,5-23-2023
Warriors ,Twolves,233,238,245,5-24-2023
Kings ,Spurs,228,244,237,5-25-2023
Raptors ,Jazz,259,230.5,254,5-26-2023
Hawks ,Suns,232,231.5,234,5-27-2023
Lakers ,Pacers,223,240.5,233.5,5-28-2023
Grizzlies ,Cavs,241,222.5,235.5,5-29-2023
Heat,Knicks,210,213,238.5,5-30-2023
Hornets,Bulls,212,236.5,241.5,5-31-2023
Pelicans,Mavs,217,225.5,242.5,6-1-2023
Warriors,Nuggets,251,232.5,242.5,6-2-2023
Clippers,Bucks,215,230.5,250.5,6-3-2023
Hornets,Pistons,230,240,243,6-4-2023
Kings,Pacers,211,235.5,228.5,6-5-2023
Tblazers,Wizards,240,238.5,219.5,6-6-2023
Suns,Celtics,200,220,255.5,6-7-2023
Raptors,Rockets,228,223,258,6-8-2023
Magic,Twolves,247,229,223.5,6-9-2023
76ers,Spurs,262,234,233.5,6-10-2023
Hawks,Jazz,228,242,246,6-11-2023